QUARTER,YEAR,COTTONQ,WHOPRICE,IMPFAB,EXPFAB,TIME
1.00,66.00,2274.00,98.00,9.30,256.00,1.00
2.00,66.00,2287.00,98.10,3.70,189.00,2.00
3.00,66.00,2083.00,98.40,16.00,277.00,3.00
4.00,66.00,2181.00,98.70,4.70,477.00,4.00
1.00,67.00,2221.00,99.30,5.70,439.00,5.00
2.00,67.00,2131.00,99.50,8.30,334.30,6.00
3.00,67.00,1891.00,100.30,25.30,249.70,7.00
4.00,67.00,2035.00,100.90,17.30,301.30,8.00
1.00,68.00,2035.00,102.00,5.30,452.30,9.00
2.00,68.00,1930.00,102.90,27.00,355.30,10.00
3.00,68.00,1712.00,104.00,22.00,277.30,11.00
4.00,68.00,1792.00,105.00,1.30,204.30,12.00
1.00,69.00,1824.00,106.10,1.30,80.00,13.00
2.00,69.00,1810.00,106.60,4.70,375.00,14.00
3.00,69.00,1608.00,108.20,2.00,188.70,15.00
4.00,69.00,1733.00,108.80,6.70,115.70,16.00
1.00,70.00,1654.00,109.60,5.00,317.70,17.00
2.00,70.00,1810.00,110.40,3.70,292.00,18.00
3.00,70.00,1467.00,111.10,3.00,119.70,19.00
4.00,70.00,1560.00,111.80,1.30,264.70,20.00
1.00,71.00,1607.00,112.20,5.70,186.00,21.00
2.00,71.00,1609.00,112.20,2.70,367.00,22.00
3.00,71.00,1405.00,113.60,3.00,228.70,23.00
4.00,71.00,1527.00,113.80,1.30,294.70,24.00
1.00,72.00,1511.00,114.00,12.00,392.00,25.00
2.00,72.00,1475.00,114.30,6.00,195.00,26.00
3.00,72.00,1277.00,115.20,3.70,83.70,27.00
4.00,72.00,1384.00,115.80,2.70,359.00,28.00
